,AcX,AcY,AcZ,GyX,GyY,GyZ,Oc2,OcV,Occ,OcV2,time,id,Magnitude,Timestamp,Movement
143,-198,-224,-2587,-293,-6,-132,1,0,1,29,2023-05-05 02:32:24,S95,1.271590596,2023-05-05 02:32:24,1
50,-177,-238,-2615,-292,253,-122,1,0,1,14,2023-05-05 02:32:47,S188,1.285042523,2023-05-05 02:32:47,1
49,-219,-234,-2594,-295,-342,-138,1,0,1,24,2023-05-05 02:32:48,S189,1.276232408,2023-05-05 02:32:48,1
31,-400,-228,-2415,-294,-549,-122,1,0,1,107,2023-05-05 02:32:52,S207,1.200438137,2023-05-05 02:32:52,1
152,-366,-226,-2428,-291,-812,-129,1,0,1,35,2023-05-05 02:31:22,S86,1.204008496,2023-05-05 02:31:22,1
115,-407,-222,-2420,-312,-1104,-102,1,0,1,0,2023-05-05 02:26:31,S123,1.203128666,2023-05-05 02:26:31,1
136,-363,-256,-2582,-781,-235,-208,0,0,1,114,2023-05-05 02:06:26,S102,1.279262303,2023-05-05 02:06:26,1
120,-459,-248,-2403,-5,-463,-154,1,0,1,42,2023-05-05 02:06:30,S118,1.200674956,2023-05-05 02:06:30,1
124,-304,-261,-2422,-100,-922,-158,0,0,1,112,2023-05-05 02:01:29,S114,1.198690292,2023-05-05 02:01:29,1
46,66,-255,-2604,-70,258,-112,1,0,1,34,2023-05-05 02:01:48,S192,1.277972705,2023-05-05 02:01:48,1
45,26,-251,-2608,-213,-182,-242,1,0,1,60,2023-05-05 02:01:48,S193,1.279384558,2023-05-05 02:01:48,1
25,-435,-306,-2408,-221,78,-141,1,0,1,56,2023-05-05 02:01:53,S213,1.204118294,2023-05-05 02:01:53,1
18,-411,-317,-2413,-175,-639,-174,1,0,1,9,2023-05-05 02:01:55,S220,1.205172592,2023-05-05 02:01:55,1
17,-412,-320,-2391,-574,-528,11,1,0,1,23,2023-05-05 02:01:55,S221,1.194945535,2023-05-05 02:01:55,1
9,485,-956,-2959,590,288,1571,1,0,1,0,2023-05-05 02:01:57,S229,1.536716745,2023-05-05 02:01:57,1
162,-349,-265,-2426,245,-194,255,1,0,1,37,2023-05-05 01:59:19,S76,1.203739752,2023-05-05 01:59:19,1
159,-132,-215,-2638,-1656,-2097,-1961,1,0,1,98,2023-05-05 01:59:20,S79,1.293963093,2023-05-05 01:59:20,1
62,-201,-197,-2636,-285,-392,-96,1,0,1,37,2023-05-05 01:30:44,S176,1.294424845,2023-05-05 01:30:44,1
58,-324,-220,-2425,419,-1056,-86,1,0,1,21,2023-05-05 01:30:45,S180,1.199424005,2023-05-05 01:30:45,1
238,-44,-321,-2637,-140,26,-122,1,0,1,0,2023-05-05 01:09:00,S0,1.297280306,2023-05-05 01:09:00,1
231,-145,-307,-2834,-1631,-28,440,0,0,1,131,2023-05-05 01:09:02,S7,1.393684194,2023-05-05 01:09:02,1
